crop_mgt,mon_1,day_1,mon_2,day_2,operation,op_data1,op_data2,op_data3,doy1,doy2,land_use,year
canp,8,15,8,30,plant,canp,NA,NA,227,242,agrl1145,2009
fesc_mgt,3,10,3,20,plant,fesc_mgt,NA,NA,69,79,agrl1163,2005
fesc_mgt,6,15,6,30,harvest_only,fesc_mgt,hay_cut_low,NA,166,181,agrl1163,2005
fesc_mgt,9,1,9,15,harvest_only,fesc_mgt,hay_cut_low,NA,244,258,agrl1163,2005
fesc_mgt,9,1,9,15,kill_only,fesc_mgt,NA,NA,244,258,agrl1163,2005
canp,8,1,8,15,tillage,fallplow,NA,NA,213,227,agrl1163,2005
canp,8,1,8,15,fertilizer,elem_n ,broadcast,25,213,227,agrl1163,2005
canp,8,15,8,30,plant,canp,NA,NA,227,242,agrl1163,2005
fesc_mgt,3,10,3,20,plant,fesc_mgt,NA,NA,69,79,agrl1163,2008
fesc_mgt,6,15,6,30,harvest_only,fesc_mgt,hay_cut_low,NA,166,181,agrl1163,2008
fesc_mgt,9,1,9,15,harvest_only,fesc_mgt,hay_cut_low,NA,244,258,agrl1163,2008
fesc_mgt,9,1,9,15,kill_only,fesc_mgt,NA,NA,244,258,agrl1163,2008
canp,8,1,8,15,tillage,fallplow,NA,NA,213,227,agrl1163,2008
canp,8,1,8,15,fertilizer,elem_n ,broadcast,25,213,227,agrl1163,2008
canp,8,15,8,30,plant,canp,NA,NA,227,242,agrl1163,2008
fesc_mgt,3,10,3,20,plant,fesc_mgt,NA,NA,69,79,agrl1163,2010
fesc_mgt,6,15,6,30,harvest_only,fesc_mgt,hay_cut_low,NA,166,181,agrl1163,2010
fesc_mgt,9,1,9,15,harvest_only,fesc_mgt,hay_cut_low,NA,244,258,agrl1163,2010
fesc_mgt,9,1,9,15,kill_only,fesc_mgt,NA,NA,244,258,agrl1163,2010
canp,8,1,8,15,tillage,fallplow,NA,NA,213,227,agrl1163,2010
canp,8,1,8,15,fertilizer,elem_n ,broadcast,25,213,227,agrl1163,2010
canp,8,15,8,30,plant,canp,NA,NA,227,242,agrl1163,2010
fesc_mgt,3,10,3,20,plant,fesc_mgt,NA,NA,69,79,agrl1164,2008
fesc_mgt,6,15,6,30,harvest_only,fesc_mgt,hay_cut_low,NA,166,181,agrl1164,2008
fesc_mgt,9,1,9,15,harvest_only,fesc_mgt,hay_cut_low,NA,244,258,agrl1164,2008
fesc_mgt,9,1,9,15,kill_only,fesc_mgt,NA,NA,244,258,agrl1164,2008
canp,8,1,8,15,tillage,fallplow,NA,NA,213,227,agrl1164,2008
canp,8,1,8,15,fertilizer,elem_n ,broadcast,25,213,227,agrl1164,2008
canp,8,15,8,30,plant,canp,NA,NA,227,242,agrl1164,2008
pota,4,1,4,20,tillage,fallplow,NA,NA,91,110,agrl1169,2005
pota,4,1,4,20,fertilizer,elem_n,broadcast,70,91,110,agrl1169,2005
pota,4,20,4,30,plant,pota,NA,NA,110,120,agrl1169,2005
pota,8,10,9,15,harvest_only,pota,tuber,NA,222,258,agrl1169,2005
pota,8,10,9,15,kill_only,pota,NA,NA,222,258,agrl1169,2005
canp,8,1,8,15,tillage,fallplow,NA,NA,213,227,agrl1169,2005
canp,8,1,8,15,fertilizer,elem_n ,broadcast,25,213,227,agrl1169,2005
canp,8,15,8,30,plant,canp,NA,NA,227,242,agrl1169,2005
pota,4,1,4,20,tillage,fallplow,NA,NA,91,110,agrl1169,2010
pota,4,1,4,20,fertilizer,elem_n,broadcast,70,91,110,agrl1169,2010
pota,4,20,4,30,plant,pota,NA,NA,110,120,agrl1169,2010
pota,8,10,9,15,harvest_only,pota,tuber,NA,222,258,agrl1169,2010
pota,8,10,9,15,kill_only,pota,NA,NA,222,258,agrl1169,2010
canp,8,1,8,15,tillage,fallplow,NA,NA,213,227,agrl1169,2010
canp,8,1,8,15,fertilizer,elem_n ,broadcast,25,213,227,agrl1169,2010
canp,8,15,8,30,plant,canp,NA,NA,227,242,agrl1169,2010
pota,4,1,4,20,tillage,fallplow,NA,NA,91,110,agrl1190,2005
pota,4,1,4,20,fertilizer,elem_n,broadcast,70,91,110,agrl1190,2005
pota,4,20,4,30,plant,pota,NA,NA,110,120,agrl1190,2005
pota,8,10,9,15,harvest_only,pota,tuber,NA,222,258,agrl1190,2005
pota,8,10,9,15,kill_only,pota,NA,NA,222,258,agrl1190,2005
canp,8,1,8,15,tillage,fallplow,NA,NA,213,227,agrl1190,2005
canp,8,1,8,15,fertilizer,elem_n ,broadcast,25,213,227,agrl1190,2005
canp,8,15,8,30,plant,canp,NA,NA,227,242,agrl1190,2005
pota,4,1,4,20,tillage,fallplow,NA,NA,91,110,agrl1190,2010
pota,4,1,4,20,fertilizer,elem_n,broadcast,70,91,110,agrl1190,2010
pota,4,20,4,30,plant,pota,NA,NA,110,120,agrl1190,2010
pota,8,10,9,15,harvest_only,pota,tuber,NA,222,258,agrl1190,2010
pota,8,10,9,15,kill_only,pota,NA,NA,222,258,agrl1190,2010
canp,8,1,8,15,tillage,fallplow,NA,NA,213,227,agrl1190,2010
canp,8,1,8,15,fertilizer,elem_n ,broadcast,25,213,227,agrl1190,2010
canp,8,15,8,30,plant,canp,NA,NA,227,242,agrl1190,2010
pota,4,1,4,20,tillage,fallplow,NA,NA,91,110,agrl1191,2005
pota,4,1,4,20,fertilizer,elem_n,broadcast,70,91,110,agrl1191,2005
pota,4,20,4,30,plant,pota,NA,NA,110,120,agrl1191,2005
pota,8,10,9,15,harvest_only,pota,tuber,NA,222,258,agrl1191,2005
pota,8,10,9,15,kill_only,pota,NA,NA,222,258,agrl1191,2005
canp,8,1,8,15,tillage,fallplow,NA,NA,213,227,agrl1191,2005
canp,8,1,8,15,fertilizer,elem_n ,broadcast,25,213,227,agrl1191,2005
canp,8,15,8,30,plant,canp,NA,NA,227,242,agrl1191,2005
pota,4,1,4,20,tillage,fallplow,NA,NA,91,110,agrl1191,2010
pota,4,1,4,20,fertilizer,elem_n,broadcast,70,91,110,agrl1191,2010
pota,4,20,4,30,plant,pota,NA,NA,110,120,agrl1191,2010
pota,8,10,9,15,harvest_only,pota,tuber,NA,222,258,agrl1191,2010
pota,8,10,9,15,kill_only,pota,NA,NA,222,258,agrl1191,2010
canp,8,1,8,15,tillage,fallplow,NA,NA,213,227,agrl1191,2010
canp,8,1,8,15,fertilizer,elem_n ,broadcast,25,213,227,agrl1191,2010
canp,8,15,8,30,plant,canp,NA,NA,227,242,agrl1191,2010
alfa,4,1,4,10,plant,lupn,NA,NA,91,100,agrl1272,2004
alfa,8,20,8,30,harvest_only,lupn,grain,NA,232,242,agrl1272,2004
alfa,8,20,8,30,kill_only,lupn,NA,NA,232,242,agrl1272,2004
canp,8,1,8,15,tillage,fallplow,NA,NA,213,227,agrl1272,2004
canp,8,1,8,15,fertilizer,elem_n ,broadcast,25,213,227,agrl1272,2004
canp,8,15,8,30,plant,canp,NA,NA,227,242,agrl1272,2004
alfa,3,20,3,30,tillage,landlevl,NA,NA,79,89,agrl1272,2009
alfa,4,1,4,10,plant,lupn,NA,NA,91,100,agrl1272,2009
alfa,8,20,8,30,harvest_only,lupn,grain,NA,232,242,agrl1272,2009
alfa,8,20,8,30,kill_only,lupn,NA,NA,232,242,agrl1272,2009
canp,8,1,8,15,tillage,fallplow,NA,NA,213,227,agrl1272,2009
canp,8,1,8,15,fertilizer,elem_n ,broadcast,25,213,227,agrl1272,2009
canp,8,15,8,30,plant,canp,NA,NA,227,242,agrl1272,2009
csil_cc,3,20,4,1,harvest_only,clvr,grass_mulch,NA,79,91,agrl1345,2005
csil_cc,3,20,4,1,kill_only,clvr,NA,NA,79,91,agrl1345,2005
csil_cc,4,1,4,15,fertilizer,swine_fr,broadcast,30000,91,105,agrl1345,2005
csil_cc,4,1,4,15,tillage,cchplow,NA,NA,91,105,agrl1345,2005
csil_cc,5,1,5,10,plant,csil,NA,NA,121,130,agrl1345,2005
csil_cc,6,10,6,20,fertilizer,elem_n,broadcast,100,161,171,agrl1345,2005
csil_cc,6,10,6,20,fertilizer,elem_p,broadcast,60,161,171,agrl1345,2005
csil_cc,8,20,9,20,harvest_only,csil,silage,NA,232,263,agrl1345,2005
csil_cc,8,20,9,20,kill_only,csil,NA,NA,232,263,agrl1345,2005
canp,8,1,8,15,tillage,fallplow,NA,NA,213,227,agrl1345,2005
canp,8,1,8,15,fertilizer,elem_n ,broadcast,25,213,227,agrl1345,2005
canp,8,15,8,30,plant,canp,NA,NA,227,242,agrl1345,2005
pota,4,1,4,20,tillage,fallplow,NA,NA,91,110,agrl1345,2008
pota,4,1,4,20,fertilizer,elem_n,broadcast,70,91,110,agrl1345,2008
pota,4,20,4,30,plant,pota,NA,NA,110,120,agrl1345,2008
pota,8,10,9,15,harvest_only,pota,tuber,NA,222,258,agrl1345,2008
pota,8,10,9,15,kill_only,pota,NA,NA,222,258,agrl1345,2008
rye,8,15,9,5,tillage,landlevl,NA,NA,227,248,agrl1345,2008
rye,9,5,9,20,fertilizer,elem_n ,broadcast,30,248,263,agrl1345,2008
rye,9,20,10,10,plant,rye,NA,NA,263,283,agrl1345,2008
csil_cc,3,20,4,1,harvest_only,clvr,grass_mulch,NA,79,91,agrl1345,2010
csil_cc,3,20,4,1,kill_only,clvr,NA,NA,79,91,agrl1345,2010
csil_cc,4,1,4,15,fertilizer,swine_fr,broadcast,30000,91,105,agrl1345,2010
csil_cc,4,1,4,15,tillage,cchplow,NA,NA,91,105,agrl1345,2010
csil_cc,5,1,5,10,plant,csil,NA,NA,121,130,agrl1345,2010
csil_cc,6,10,6,20,fertilizer,elem_n,broadcast,100,161,171,agrl1345,2010
csil_cc,6,10,6,20,fertilizer,elem_p,broadcast,60,161,171,agrl1345,2010
csil_cc,8,20,9,20,harvest_only,csil,silage,NA,232,263,agrl1345,2010
csil_cc,8,20,9,20,kill_only,csil,NA,NA,232,263,agrl1345,2010
canp,8,1,8,15,tillage,fallplow,NA,NA,213,227,agrl1345,2010
canp,8,1,8,15,fertilizer,elem_n ,broadcast,25,213,227,agrl1345,2010
canp,8,15,8,30,plant,canp,NA,NA,227,242,agrl1345,2010
buck,5,15,5,25,fertilizer,elem_n,broadcast,40,135,145,agrl1409,2004
buck,5,15,5,25,fertilizer,elem_p,broadcast,13,135,145,agrl1409,2004
buck,5,15,5,25,plant,buck,NA,NA,135,145,agrl1409,2004
buck,8,1,9,30,harvest_only,buck,grain,NA,213,273,agrl1409,2004
buck,8,1,9,30,kill_only,buck,NA,NA,213,273,agrl1409,2004
pota,9,1,9,15,tillage,fallplow,NA,NA,244,258,agrl1409,2004
pota,10,1,10,15,fertilizer,swine_fr,broadcast,25000,274,288,agrl1409,2004
buck,5,15,5,25,tillage,landlevl,NA,NA,135,145,agrl1409,2009
buck,5,15,5,25,fertilizer,elem_n,broadcast,40,135,145,agrl1409,2009
buck,5,15,5,25,fertilizer,elem_p,broadcast,13,135,145,agrl1409,2009
buck,5,15,5,25,plant,buck,NA,NA,135,145,agrl1409,2009
buck,8,1,9,30,harvest_only,buck,grain,NA,213,273,agrl1409,2009
buck,8,1,9,30,kill_only,buck,NA,NA,213,273,agrl1409,2009
pota,9,1,9,15,tillage,fallplow,NA,NA,244,258,agrl1409,2009
pota,10,1,10,15,fertilizer,swine_fr,broadcast,25000,274,288,agrl1409,2009
fesc_mgt,3,10,3,20,plant,fesc_mgt,NA,NA,69,79,agrl1594,2006
fesc_mgt,6,15,6,30,harvest_only,fesc_mgt,hay_cut_low,NA,166,181,agrl1594,2006
fesc_mgt,9,1,9,15,harvest_only,fesc_mgt,hay_cut_low,NA,244,258,agrl1594,2006
fesc_mgt,9,1,9,15,kill_only,fesc_mgt,NA,NA,244,258,agrl1594,2006
canp,8,1,8,15,tillage,fallplow,NA,NA,213,227,agrl1594,2006
canp,8,1,8,15,fertilizer,elem_n ,broadcast,25,213,227,agrl1594,2006
canp,8,15,8,30,plant,canp,NA,NA,227,242,agrl1594,2006
alfa,4,1,4,10,plant,lupn,NA,NA,91,100,agrl2026,2004
alfa,8,20,8,30,harvest_only,lupn,grain,NA,232,242,agrl2026,2004
alfa,8,20,8,30,kill_only,lupn,NA,NA,232,242,agrl2026,2004
canp,8,1,8,15,tillage,fallplow,NA,NA,213,227,agrl2026,2004
canp,8,1,8,15,fertilizer,elem_n ,broadcast,25,213,227,agrl2026,2004
canp,8,15,8,30,plant,canp,NA,NA,227,242,agrl2026,2004
alfa,3,20,3,30,tillage,landlevl,NA,NA,79,89,agrl2026,2009
alfa,4,1,4,10,plant,lupn,NA,NA,91,100,agrl2026,2009
alfa,8,20,8,30,harvest_only,lupn,grain,NA,232,242,agrl2026,2009
alfa,8,20,8,30,kill_only,lupn,NA,NA,232,242,agrl2026,2009
canp,8,1,8,15,tillage,fallplow,NA,NA,213,227,agrl2026,2009
canp,8,1,8,15,fertilizer,elem_n ,broadcast,25,213,227,agrl2026,2009
canp,8,15,8,30,plant,canp,NA,NA,227,242,agrl2026,2009
buck,5,15,5,25,tillage,landlevl,NA,NA,135,145,agrl2248,2008
buck,5,15,5,25,fertilizer,elem_n,broadcast,40,135,145,agrl2248,2008
buck,5,15,5,25,fertilizer,elem_p,broadcast,13,135,145,agrl2248,2008
buck,5,15,5,25,plant,buck,NA,NA,135,145,agrl2248,2008
buck,8,1,9,30,harvest_only,buck,grain,NA,213,273,agrl2248,2008
buck,8,1,9,30,kill_only,buck,NA,NA,213,273,agrl2248,2008
rye,8,15,9,5,tillage,landlevl,NA,NA,227,248,agrl2248,2008
rye,9,5,9,20,fertilizer,elem_n ,broadcast,30,248,263,agrl2248,2008
rye,9,20,10,10,plant,rye,NA,NA,263,283,agrl2248,2008
alfa,4,1,4,10,plant,lupn,NA,NA,91,100,agrl2272,2004
alfa,8,20,8,30,harvest_only,lupn,grain,NA,232,242,agrl2272,2004
alfa,8,20,8,30,kill_only,lupn,NA,NA,232,242,agrl2272,2004
canp,8,1,8,15,tillage,fallplow,NA,NA,213,227,agrl2272,2004
canp,8,1,8,15,fertilizer,elem_n ,broadcast,25,213,227,agrl2272,2004
canp,8,15,8,30,plant,canp,NA,NA,227,242,agrl2272,2004
alfa,3,20,3,30,tillage,landlevl,NA,NA,79,89,agrl2272,2009
alfa,4,1,4,10,plant,lupn,NA,NA,91,100,agrl2272,2009
alfa,8,20,8,30,harvest_only,lupn,grain,NA,232,242,agrl2272,2009
alfa,8,20,8,30,kill_only,lupn,NA,NA,232,242,agrl2272,2009
canp,8,1,8,15,tillage,fallplow,NA,NA,213,227,agrl2272,2009
canp,8,1,8,15,fertilizer,elem_n ,broadcast,25,213,227,agrl2272,2009
canp,8,15,8,30,plant,canp,NA,NA,227,242,agrl2272,2009
alfa,4,1,4,10,plant,lupn,NA,NA,91,100,agrl2284,2004
alfa,8,20,8,30,harvest_only,lupn,grain,NA,232,242,agrl2284,2004
alfa,8,20,8,30,kill_only,lupn,NA,NA,232,242,agrl2284,2004
canp,8,1,8,15,tillage,fallplow,NA,NA,213,227,agrl2284,2004
canp,8,1,8,15,fertilizer,elem_n ,broadcast,25,213,227,agrl2284,2004
canp,8,15,8,30,plant,canp,NA,NA,227,242,agrl2284,2004
alfa,3,20,3,30,tillage,landlevl,NA,NA,79,89,agrl2284,2009
alfa,4,1,4,10,plant,lupn,NA,NA,91,100,agrl2284,2009
alfa,8,20,8,30,harvest_only,lupn,grain,NA,232,242,agrl2284,2009
alfa,8,20,8,30,kill_only,lupn,NA,NA,232,242,agrl2284,2009
canp,8,1,8,15,tillage,fallplow,NA,NA,213,227,agrl2284,2009
canp,8,1,8,15,fertilizer,elem_n ,broadcast,25,213,227,agrl2284,2009
canp,8,15,8,30,plant,canp,NA,NA,227,242,agrl2284,2009
buck,5,15,5,25,tillage,landlevl,NA,NA,135,145,agrl3462,2005
buck,5,15,5,25,fertilizer,elem_n,broadcast,40,135,145,agrl3462,2005
buck,5,15,5,25,fertilizer,elem_p,broadcast,13,135,145,agrl3462,2005
buck,5,15,5,25,plant,buck,NA,NA,135,145,agrl3462,2005
buck,8,1,9,30,harvest_only,buck,grain,NA,213,273,agrl3462,2005
buck,8,1,9,30,kill_only,buck,NA,NA,213,273,agrl3462,2005
rye,8,15,9,5,tillage,landlevl,NA,NA,227,248,agrl3462,2005
rye,9,5,9,20,fertilizer,elem_n ,broadcast,30,248,263,agrl3462,2005
rye,9,20,10,10,plant,rye,NA,NA,263,283,agrl3462,2005
buck,5,15,5,25,tillage,landlevl,NA,NA,135,145,agrl3462,2008
buck,5,15,5,25,fertilizer,elem_n,broadcast,40,135,145,agrl3462,2008
buck,5,15,5,25,fertilizer,elem_p,broadcast,13,135,145,agrl3462,2008
buck,5,15,5,25,plant,buck,NA,NA,135,145,agrl3462,2008
buck,8,1,9,30,harvest_only,buck,grain,NA,213,273,agrl3462,2008
buck,8,1,9,30,kill_only,buck,NA,NA,213,273,agrl3462,2008
rye,8,15,9,5,tillage,landlevl,NA,NA,227,248,agrl3462,2008
rye,9,5,9,20,fertilizer,elem_n ,broadcast,30,248,263,agrl3462,2008
rye,9,20,10,10,plant,rye,NA,NA,263,283,agrl3462,2008
buck,5,15,5,25,tillage,landlevl,NA,NA,135,145,agrl3462,2010
buck,5,15,5,25,fertilizer,elem_n,broadcast,40,135,145,agrl3462,2010
buck,5,15,5,25,fertilizer,elem_p,broadcast,13,135,145,agrl3462,2010
buck,5,15,5,25,plant,buck,NA,NA,135,145,agrl3462,2010
buck,8,1,9,30,harvest_only,buck,grain,NA,213,273,agrl3462,2010
buck,8,1,9,30,kill_only,buck,NA,NA,213,273,agrl3462,2010
rye,8,15,9,5,tillage,landlevl,NA,NA,227,248,agrl3462,2010
rye,9,5,9,20,fertilizer,elem_n ,broadcast,30,248,263,agrl3462,2010
