"row_number","col","year","from","to"
212,"y_2013",2013,"oats","csil"
212,"y_2018",2018,"oats","csil"
212,"y_2023",2023,"oats","csil"
294,"y_1992",1992,"alfa","oats"
294,"y_1996",1996,"alfa","oats"
294,"y_2001",2001,"alfa","oats"
294,"y_2006",2006,"alfa","oats"
294,"y_2011",2011,"alfa","oats"
294,"y_2016",2016,"alfa","oats"
294,"y_2021",2021,"alfa","oats"
296,"y_1993",1993,"fes2","oats"
296,"y_1998",1998,"fes2","oats"
296,"y_2003",2003,"fes2","oats"
296,"y_2008",2008,"fes2","oats"
296,"y_2013",2013,"fes2","oats"
296,"y_2018",2018,"fes2","oats"
296,"y_2023",2023,"fes2","oats"
298,"y_1992",1992,"fes2","oats"
298,"y_1997",1997,"fes2","oats"
298,"y_2002",2002,"fes2","oats"
298,"y_2007",2007,"fes2","oats"
298,"y_2012",2012,"fes2","oats"
298,"y_2017",2017,"fes2","oats"
298,"y_2022",2022,"fes2","oats"
301,"y_1992",1992,"fes2","oats"
301,"y_1996",1996,"fes2","oats"
301,"y_2001",2001,"fes2","oats"
301,"y_2006",2006,"fes2","oats"
301,"y_2011",2011,"fes2","oats"
301,"y_2016",2016,"fes2","oats"
301,"y_2021",2021,"fes2","oats"
303,"y_1992",1992,"oats","csil"
303,"y_1995",1995,"oats","csil"
303,"y_1998",1998,"oats","csil"
303,"y_2001",2001,"oats","csil"
303,"y_2004",2004,"oats","csil"
303,"y_2007",2007,"oats","csil"
303,"y_2010",2010,"oats","csil"
303,"y_2013",2013,"oats","csil"
303,"y_2016",2016,"oats","csil"
303,"y_2019",2019,"oats","csil"
303,"y_2022",2022,"oats","csil"
